Znak (EN)	Wystπpienia		Znak (IT)	Wystπpienia		Znak (PL)	Wystπpienia		Liczba (1-1000)	Wystπpienia
ª	1		Znak pusty	2		å	3		1	1003
ø	1		´	508		è	1		2	969
Ô	1		ª	507		ú	1044		3	975
Nowa linia	100223		‡	396		ü	139		4	1016
Spacja	751112		Ë	359		£	9		5	965
!	314		È	241		Ø	5		6	1004
""""	22		Ï	334		≥	4496		7	961
#	1		Ú	782		π	1586		8	981
$	2		˘	186		ø	1778		9	974
%	1		Nowa linia	752		”	2		10	948
'	2024		Spacja	33756		Ê	774		11	1054
(	241		!	160		Í	2517		12	960
)	241		'	581		Ò	197		13	987
*	31		,	2051		Û	1842		14	1041
,	70717		-	105		Nowa linia	28		15	1097
-	98		.	1708		Spacja	31720		16	1012
.	26420		0	138		!	136		17	1037
/	24		1	690		""""	8		18	947
0	5320		2	553		,	3107		19	1007
1	27091		3	334		-	141		20	1033
2	18978		4	222		.	2068		21	975
3	12259		5	180		:	633		22	959
4	9150		6	161		";"	70		23	1041
5	7053		7	148		?	138		24	1020
6	6472		8	145		A	582		25	1010
7	5917		9	140		B	375		26	1040
8	5779		:	796		C	214		27	1068
9	5643		";"	246		D	136		28	962
:	43827		?	140		E	274		29	1002
";"	10139		A	647		F	10		30	996
?	3297		B	116		G	107		31	982
@	2		C	324		H	47		32	1001
A	17914		D	380		I	346		33	1016
B	4714		E	573		J	719		34	982
C	1696		F	52		K	212		35	1053
D	8782		G	563		L	184		36	983
E	2710		H	40		M	174		37	993
F	2386		I	478		N	313		38	1028
G	6206		J	5		O	145		39	983
H	3208		K	22		P	471		40	990
I	13300		L	291		R	147		41	977
J	6374		M	216		S	366		42	1055
K	547		N	194		T	199		43	1023
L	9222		O	90		U	43		44	1044
M	3056		P	283		W	316		45	1009
N	1891		Q	165		Z	175		46	1009
O	8896		R	212		a	14718		47	1018
P	1877		S	499		b	3068		48	1014
Q	6		T	89		c	5511		49	991
R	7568		U	30		d	6078		50	1053
S	4905		V	55		e	12618		51	935
T	7763		Z	46		f	367		52	1028
U	333		[	1534		g	2401		53	1015
V	107		]	1534		h	1699		54	991
W	2408		a	15811		i	14058		55	1031
X	2		b	1717		j	3136		56	1052
Y	569		c	5983		k	3799		57	1029
Z	904		d	5554		l	2641		58	1038
[	2		e	17741		m	5233		59	1086
]	2		f	1734		n	6647		60	1012
a	257813		g	3103		o	12016		61	1043
